gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,loan_amount,loan_term,credit_history,property_area,loan_status
Male,Yes,1,Graduate,No,1980.0,684.0,254.0,180.0,1.0,Urban,1
Male,Yes,3+,Graduate,No,5351.0,895.0,448.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,No,8629.0,1308.0,259.0,120.0,1.0,Urban,1
Female,Yes,3+,Graduate,No,12685.0,2550.0,248.0,240.0,1.0,Urban,1
Male,No,0,Not Graduate,No,12492.0,2959.0,225.0,180.0,1.0,Urban,1
Male,Yes,2,Graduate,No,10690.0,3049.0,197.0,240.0,1.0,Semiurban,1
Male,Yes,0,Not Graduate,No,8340.0,2915.5,109.0,360.0,1.0,Rural,1
Female,Yes,1,Graduate,Yes,3059.0,2927.0,334.0,360.0,1.0,Urban,1
Female,Yes,0,Graduate,No,8472.0,3112.0,279.0,360.0,0.0,Urban,0
Male,Yes,1,Graduate,No,9848.0,1411.0,194.0,360.0,1.0,Semiurban,1
Female,No,0,Not Graduate,No,14578.0,5240.0,285.0,480.0,0.0,Semiurban,0
Male,No,0,Graduate,No,11292.0,2328.0,301.0,120.0,1.0,Semiurban,0
Female,No,1,Graduate,No,14590.0,138.0,385.0,300.0,1.0,Urban,1
Male,No,0,Graduate,No,5267.0,1796.0,262.0,240.0,1.0,Urban,1
Male,No,3+,Not Graduate,No,3922.0,2201.0,85.0,360.0,0.0,Urban,0
Male,No,3+,Not Graduate,No,11792.0,2108.0,320.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,No,3441.0,1491.0,68.0,480.0,1.0,Semiurban,1
Male,Yes,0,Graduate,Yes,13858.0,2915.5,336.0,300.0,0.0,Rural,0
Male,Yes,0,Graduate,No,7221.0,48.0,374.0,180.0,0.0,Semiurban,0
Male,No,1,Graduate,No,6018.0,699.0,173.0,120.0,0.0,Rural,0
Female,No,2,Graduate,No,14173.0,1111.0,466.0,300.0,1.0,Urban,1
Female,Yes,2,Graduate,Yes,14290.0,5532.0,380.0,120.0,1.0,Urban,1
Male,Yes,0,Graduate,No,3382.0,2197.0,391.0,300.0,1.0,Semiurban,1
Male,No,0,Not Graduate,No,10638.0,5154.0,485.0,300.0,1.0,Semiurban,1
Female,Yes,2,Graduate,No,3106.0,1753.0,76.0,360.0,0.0,Semiurban,1
Male,Yes,0,Graduate,No,11827.0,4237.0,450.0,180.0,1.0,Urban,1
Male,No,1,Graduate,No,4121.0,5902.0,145.0,180.0,1.0,Urban,1
Male,Yes,0,Graduate,No,6007.0,3343.0,262.5,480.0,1.0,Rural,1
Male,No,0,Graduate,Yes,10222.0,4153.0,213.0,300.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,6364.0,5426.0,51.0,480.0,1.0,Rural,1
Male,No,0,Graduate,Yes,13165.0,2445.0,53.0,300.0,1.0,Semiurban,1
Female,Yes,1,Graduate,No,9280.0,4707.0,76.0,480.0,1.0,Rural,1
Male,Yes,0,Not Graduate,No,14289.0,2357.0,384.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,No,10791.0,3078.0,186.0,240.0,1.0,Rural,1
Male,Yes,1,Graduate,No,7288.0,4665.0,434.0,480.0,1.0,Urban,1
Female,No,0,Graduate,No,10356.0,4650.0,99.0,480.0,1.0,Rural,0
